"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",23124,850,3615,1454,1553
"50,000 to 54,999",20904,810,3516,1207,1239
"55,000 to 59,999",16962,538,2666,911,964
"60,000 to 64,999",15551,374,2140,854,860
"65,000 to 69,999",17825,424,2448,981,910
"70,000 to 74,999",13672,368,1847,1045,589
"75,000 to 79,999",10527,274,1623,494,509
"80,000 to 84,999",18033,463,2714,1055,1157
"85,000 to 89,999",7279,252,1310,337,381
"90,000 to 94,999",7448,152,1073,262,359
"95,000 to 99,999",8433,206,1519,233,450
"100,000 and over",25726,507,3587,893,1288
"Total",185484,5218,28058,9726,10259
