"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",5506,258,1149,309,456
"50,000 to 54,999",17514,1378,4733,1079,1496
"55,000 to 59,999",16746,1165,3878,902,1169
"60,000 to 64,999",20458,1360,5001,1136,1642
"65,000 to 69,999",23218,1408,5661,1307,1623
"70,000 to 74,999",25292,1310,5789,1344,1708
"75,000 to 79,999",16021,684,3226,971,1096
"80,000 to 84,999",11295,407,2096,622,540
"85,000 to 89,999",22431,841,4524,1293,1362
"90,000 to 94,999",22142,669,4344,1259,1575
"95,000 to 99,999",8853,331,1892,482,598
"100,000 to 104,999",12844,463,2660,662,832
"105,000 to 109,999",9098,276,1977,324,526
"110,000 to 114,999",8511,271,1573,409,631
"115,000 to 119,999",6834,255,1597,261,484
"120,000 to 124,999",5895,196,1320,227,320
"125,000 to 149,999",14596,347,2668,533,958
"150,000 and over",6157,152,946,243,394
"Total",253411,11771,55034,13363,17410
