"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 25,000",641,NA,NA,14,41
"25,000 to 49,999",4835,177,782,286,342
"50,000 to 54,999",16566,929,3485,979,1141
"55,000 to 59,999",16097,954,3367,866,866
"60,000 to 64,999",18714,1058,4084,1029,1192
"65,000 to 69,999",21372,1031,4399,1200,1297
"70,000 to 74,999",21560,903,4333,1169,1208
"75,000 to 79,999",14642,476,2474,907,869
"80,000 to 84,999",16641,454,2708,854,640
"85,000 to 89,999",19438,620,3908,1113,1069
"90,000 to 94,999",16479,453,2563,1064,961
"95,000 to 99,999",8158,303,1585,454,444
"100,000 to 149,999",49221,1292,8819,1903,2598
"150,000 to 199,999",3634,84,498,130,209
"200,000 to 249,999",342,NA,35,9,16
"250,000 and over",5,NA,NA,0,0
"Total",228345,8754,43122,11977,12893
