"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",10826,388,1758,618,661
"50,000 to 54,999",17345,696,2965,1014,1055
"55,000 to 59,999",21616,837,3780,1201,1216
"60,000 to 64,999",16539,506,2649,888,922
"65,000 to 69,999",20799,488,3014,1086,995
"70,000 to 74,999",18553,485,2491,1436,991
"75,000 to 79,999",9028,240,1345,364,381
"80,000 to 84,999",10793,303,1802,539,507
"85,000 to 89,999",16294,367,2335,953,1008
"90,000 to 94,999",8631,332,1685,368,429
"95,000 to 99,999",7658,188,1182,281,355
"100,000 and over",34385,708,5267,1128,1661
"Total",192467,5538,30273,9876,10181
