"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",4617,186,815,201,345
"50,000 to 54,999",2526,176,672,154,253
"55,000 to 59,999",7227,500,1987,420,565
"60,000 to 64,999",24922,2212,7312,1338,2206
"65,000 to 69,999",24299,1541,5849,1396,2080
"70,000 to 74,999",24361,1589,6242,1417,2024
"75,000 to 79,999",20275,1084,4548,1199,1556
"80,000 to 84,999",22858,1077,5026,1422,1719
"85,000 to 89,999",16989,714,3536,963,1037
"90,000 to 94,999",12132,526,2644,598,923
"95,000 to 99,999",13604,565,3133,678,1034
"100,000 to 104,999",20277,682,4169,1241,1654
"105,000 to 109,999",10468,446,2327,556,750
"110,000 to 114,999",11870,415,2506,568,974
"115,000 to 119,999",6325,240,1435,237,386
"120,000 to 124,999",9528,288,2123,338,644
"125,000 to 149,999",24432,793,5088,1008,1937
"150,000 and over",9723,236,1603,418,1002
"Total",266433,13270,61015,14152,21089
