"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 50,000",10316,411,1789,573,617
"50,000 to 54,999",18553,1058,3838,1071,1144
"55,000 to 59,999",22131,1112,4143,1249,1216
"60,000 to 64,999",19187,860,3901,1011,1093
"65,000 to 69,999",18403,609,3217,996,974
"70,000 to 74,999",14379,464,2571,810,807
"75,000 to 79,999",10622,275,1647,642,404
"80,000 to 84,999",17472,473,2859,1045,717
"85,000 to 89,999",20511,522,3481,1105,1167
"90,000 to 94,999",8953,304,1689,411,427
"95,000 to 99,999",9769,315,1646,472,520
"100,000 to 149,999",40265,950,6920,1384,1816
"150,000 to 199,999",3240,70,406,2,170
"200,000 to 249,999",314,1,1,2,15
"250,000 and over",5,1,1,0,0
"Total",214120,7427,38145,10888,11087
