"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 15,000",304,2,2,3,17
"15,000 to 49,999",10627,412,1867,603,641
"50,000 to 54,999",18064,956,3324,1081,1083
"55,000 to 59,999",22233,997,4221,1219,1286
"60,000 to 64,999",17281,606,3112,936,930
"65,000 to 69,999",17544,536,2841,991,908
"70,000 to 74,999",13820,371,2221,796,819
"75,000 to 79,999",11518,288,1677,688,448
"80,000 to 84,999",18183,464,2810,1054,740
"85,000 to 89,999",18340,457,2793,972,1115
"90,000 to 94,999",9276,393,1892,427,427
"95,000 to 99,999",8886,203,1340,409,429
"100,000 to 149,999",34824,741,5624,1193,1651
"150,000 to 199,999",2220,41,245,59,121
"200,000 to 249,999",145,2,15,3,7
"250,000 and over",3,2,2,0,0
"Total",203268,6468,34004,10435,10622
