"salary_range","count_all","count_black","count_vm","count_indigenous","count_pwd"
"Under 25,000",646,NA,NA,NA,NA
"25,000 to 49,999",4551,181,798,NA,NA
"50,000 to 54,999",15578,963,3623,995,1223
"55,000 to 59,999",15495,936,3286,815,922
"60,000 to 64,999",19131,1212,4478,1007,1394
"65,000 to 69,999",21662,1207,4868,1182,1329
"70,000 to 74,999",22974,1080,4885,1268,1440
"75,000 to 79,999",15043,573,2844,906,975
"80,000 to 84,999",11649,360,2087,623,519
"85,000 to 89,999",20747,681,4016,1174,1093
"90,000 to 94,999",20617,577,3774,1242,1333
"95,000 to 99,999",8854,356,1894,490,494
"100,000 to 149,999",54726,1553,10422,2192,3189
"150,000 to 199,999",4032,96,602,142,243
"200,000 to 249,999",422,16,56,11,23
"250,000 and over",6,NA,NA,0,0
"Total",236133,9809,47728,12336,14573
"Under 50,000",NA,NA,NA,289,396
